pre,level
0.543167296,0
0.618018447,1
0.592771224,1
0.605205698,1
0.606491147,0
0.516743719,0
0.556933865,0
0.53245015,0
0.587437538,1
0.624655842,1
0.624647969,1
0.610544956,1
0.629819623,1
0.54651498,1
0.548944927,1
0.506681259,1
0.624454528,0
0.557723004,1
0.622881756,1
0.595563403,0
0.544417196,1
0.494342558,0
0.500581508,1
0.568543249,0
0.512871623,1
0.532784429,1
0.626871695,0
0.569908987,1
0.506539853,0
0.626748949,0
0.531553032,0
0.598901757,1
0.522597269,1
0.543409992,0
0.584047368,0
0.582127851,1
0.499004852,0
0.513626967,1
0.516729564,1
0.593419736,0
0.580863974,0
0.497579643,0
0.563940109,1
0.550526161,0
0.600900532,0
0.617947641,1
0.503213505,1
0.611789041,0
0.522058929,1
0.634637846,1
0.509491801,0
0.571332744,0
0.534350861,1
0.633008386,1
0.573324747,1
0.617159855,1
0.618131821,1
0.632387601,0
0.628063689,0
0.535523145,0
0.61559172,1
0.62743787,0
0.50587154,1
0.547988297,1
0.533632783,1
0.520108211,0
0.616075147,1
0.62377256,1
0.504909686,1
0.592453698,1
0.582263517,1
0.564795138,1
0.596446215,1
0.565138222,1
0.534978795,0
0.543062917,0
0.542936495,0
0.503589861,1
0.570247735,1
0.513843288,1
0.578045342,1
0.530027073,1
0.634410673,0
0.531565965,0
0.514001447,1
0.624702741,0
0.53712112,1
0.604739245,1
0.569171864,1
0.594925274,0
0.575741232,0
0.544159362,0
0.581330586,0
0.590777256,0
0.588986493,1
0.600847402,0
0.580797324,1
0.610710167,1
0.584598035,1
0.599399237,0
0.506460283,0
0.633987655,0
0.535743438,1
0.626987804,1
0.588442617,0
0.623634284,1
0.558076042,0
0.622408062,1
0.601156575,1
0.497784332,1
0.607189176,0
0.609417034,0
0.577435168,1
0.602105541,0
0.492063873,0
0.587930756,0
0.542871599,1
0.58164042,1
0.518086471,0
0.580892266,0
0.583665227,0
0.551169255,1
0.570808021,0
0.633663129,0
0.528128084,1
0.568299504,0
0.564407065,1
0.537756735,1
0.575419025,0
0.587693276,0
0.502949917,1
0.605246427,1
0.632438685,0
0.584650903,1
0.507811039,0
0.544215273,0
0.593110903,1
0.534338852,0
0.603161529,1
0.560597078,0
0.624711035,1
0.61940025,1
0.573347043,1
0.632920522,0
0.571042693,1
0.505679319,1
0.532534528,0
0.59529709,0
0.510780608,1
0.55222429,0
0.567579362,0
0.553534922,1
0.608163686,1
0.548730267,0
0.614381187,0
0.570188446,0
0.547571697,1
0.612190633,0
0.542730444,0
0.637130426,1
0.596776714,1
0.634609217,1
0.571458015,1
0.559279402,1
0.572917137,1
0.548427133,1
0.530410538,0
0.63363099,0
0.620272768,1
0.533363443,0
0.536698002,1
0.530361597,0
0.508571577,1
0.527901677,1
0.596520339,1
0.507781517,1
0.487621321,1
0.620587849,0
0.612484374,1
0.591716951,0
0.595953668,1
0.528793074,1
0.498952637,1
0.509375772,0
0.577019376,1
0.574140501,0
0.622643862,1
0.625962348,0
0.602273386,0
0.535481258,0
0.627226165,1
0.603227573,0
0.524837579,1
0.534674691,0
0.513717551,0
0.502702685,1
0.608162499,1
0.561945518,0
0.617084755,1
0.569041548,0
0.614277246,1
0.503062318,1
0.627960111,0
0.59067941,0
0.560245476,0
0.558103034,0
0.619893115,1
0.532955792,0
0.496477897,0
0.544618535,0
0.625188388,1
0.517342997,1
0.537994545,1
0.584990982,1
0.631228277,1
0.632891133,1
0.625587829,1
0.508253093,0
0.537884506,0
0.50485808,1
0.495368601,1
0.533507351,1
0.621931349,1
0.561029283,0
0.510540215,1
0.578500507,1
0.610138156,0
0.494390483,1
0.595766322,0
0.580827822,0
0.491582868,0
0.505279062,1
0.599148459,0
0.520987518,1
0.581267743,0
0.556863087,1
0.508593209,0
0.577624014,1
0.574294493,0
0.52434018,1
0.513200841,0
0.516304986,0
0.533657108,0
0.55542594,0
0.5174296,1
0.623740857,1
0.559696229,1
0.498586691,0
0.519573297,1
0.494083086,1
0.610608379,0
0.567086708,1
0.532127424,1
0.49701121,1
0.613073538,1
0.63241075,0
0.610107344,0
0.619468878,0
0.586540984,1
0.631710494,0
0.59428388,1
0.505426914,1
0.626428365,0
0.526987378,0
0.619287355,0
0.552743221,1
0.623132202,1
0.5204993,1
0.549312611,1
